#,x1,x2,y1,y2,P0,P1,P2,P3,P4
82,20,1368,559.702,559.806,25919.060,7011.770,567.757,179518107.811,0.979
83,20,1368,559.666,559.806,25944.499,6965.975,567.992,201427407.217,0.977
84,20,1368,559.698,559.768,25958.470,6932.724,568.298,176004368.694,0.979
85,20,1368,559.703,559.808,25880.297,7050.527,567.398,178901255.858,0.980
86,20,1368,559.694,559.776,25924.459,6957.768,568.599,186899970.179,0.978
87,20,1368,559.707,559.782,25931.640,6970.115,568.855,187603120.826,0.978
88,20,1368,559.747,559.840,25958.446,6941.088,569.331,183696366.395,0.978
89,20,1368,559.707,559.760,25925.369,6983.329,568.431,182422679.099,0.979
90,20,1368,559.637,559.845,25958.571,6952.912,568.835,185303508.523,0.978
91,20,1368,559.710,559.766,25942.540,6955.770,568.765,180603173.725,0.979
92,20,1368,559.711,559.807,25927.817,7004.833,568.520,186787238.872,0.978
93,20,1368,559.711,559.764,25965.673,6935.673,568.385,181898134.935,0.979
94,20,1368,559.678,559.775,25947.614,6964.594,568.092,181443755.279,0.979
95,20,1368,559.729,559.787,25937.505,6984.754,568.175,191640472.150,0.978
96,20,1368,559.717,559.789,25983.776,6902.447,568.065,195351784.940,0.977
97,20,1368,559.636,559.790,25958.591,6927.840,569.037,189294807.342,0.978
98,20,1368,559.698,559.792,25957.644,6955.070,568.921,195561187.160,0.977
99,20,1368,559.677,559.738,25994.130,6901.249,569.450,189165664.692,0.978
100,20,1368,559.660,559.811,25964.476,6933.773,568.684,185767575.176,0.978
